"ep_no","series_ep_code","title","air_date"
"269","s06e19","Invasion of the Body Switcher","1998-09-26"
"270","s06e20","Survival of the Silver","1998-10-03"
"271","s06e21","Red with Envy","1998-10-10"
"272","s06e22","The Silver Secret","1998-10-14"
"273","s06e23","A Date with Danger","1998-10-15"
"274","s06e24","Zhane’s Destiny","1998-10-16"
"275","s06e25","Always a Chance","1998-10-17"
"276","s06e26","The Secret of the Locket","1998-10-21"
"277","s06e27","Astronema Thinks Twice","1998-10-23"
"278","s06e28","The Rangers’ Leap of Faith","1998-10-24"
"279","s06e29","Dark Specter’s Revenge (1)","1998-10-28"
"280","s06e30","Dark Specter’s Revenge (2)","1998-10-29"
"281","s06e31","Rangers Gone Psycho","1998-10-30"
"282","s06e32","Carlos on Call","1998-10-31"
"283","s06e33","A Rift in the Rangers","1998-11-04"
"284","s06e34","Five of a Kind","1998-11-05"
"285","s06e35","Silence is Golden","1998-11-06"
"286","s06e36","The Enemy Within","1998-11-07"
"287","s06e37","Andros and the Stowaway","1998-11-11"
"288","s06e38","Mission to Secret City","1998-11-12"
"289","s06e39","Ghosts in the Machine","1998-11-13"
"290","s06e40","The Impenetrable Web","1998-11-14"
"291","s06e41","A Line in the Sand","1998-11-18"
"292","s06e42","Countdown to Destruction (1)","1998-11-20"
"293","s06e43","Countdown to Destruction (2)","1998-11-21"
"294","s07e01","Quasar Quest (1)","1999-02-06"
"295","s07e02","Quasar Quest (2)","1999-02-13"
"296","s07e03","Race to the Rescue","1999-02-20"
"297","s07e04","Rookie in Red","1999-02-27"
"298","s07e05","Homesick","1999-03-06"
"299","s07e06","The Lights of Orion","1999-03-13"
"300","s07e07","Double Duty","1999-03-20"
"301","s07e08","The Blue Crush","1999-03-27"
"302","s07e09","The Magna Defender","1999-04-03"
"303","s07e10","The Sunflower Search","1999-04-10"
"304","s07e11","Silent Sleep","1999-04-17"
"305","s07e12","Orion Rising","1999-05-01"
"306","s07e13","Orion Returns","1999-05-08"
"307","s07e14","Shark Attack","1999-05-15"
"308","s07e15","Redemption Day","1999-05-22"
"309","s07e16","Destined for Greatness","1999-09-25"
"310","s07e17","Stolen Beauty","1999-10-02"
"311","s07e18","The Rescue Mission","1999-10-09"
"312","s07e19","The Lost Galactabeasts (1)","1999-10-16"
"313","s07e20","The Lost Galactabeasts (2)","1999-10-22"
"314","s07e21","Heir to the Throne","1999-10-23"
"315","s07e22","An Evil Game","1999-10-25"
"316","s07e23","Memories of Mirinoi","1999-10-26"
"317","s07e24","Green Courage","1999-10-27"
"318","s07e25","Blue to the Test","1999-10-28"
"319","s07e26","Mean Wheels Mantis","1999-10-29"
"320","s07e27","Loyax’ Last Battle","1999-11-01"
"321","s07e28","A Red Romance","1999-11-02"
"322","s07e29","The Chameliac Warrior","1999-11-03"
"323","s07e30","To the Tenth Power","1999-11-04"
"324","s07e31","The Power of Pink","1999-11-05"
"325","s07e32","Protect the Quasar Saber","1999-11-08"
"326","s07e33","Facing the Past","1999-11-09"
"327","s07e34","Turn Up the Volume","1999-11-10"
"328","s07e35","Enter the Lost Galaxy","1999-11-11"
"329","s07e36","Beware the Mutiny","1999-11-12"
"330","s07e37","Grunchor on the Loose","1999-11-15"
"331","s07e38","Until Sunset","1999-11-16"
"332","s07e39","Dream Battle","1999-11-17"
"333","s07e40","Hexuba’s Graveyard","1999-11-18"
"334","s07e41","Raise the Titanisaur","1999-11-19"
"335","s07e42","Escape the Lost Galaxy","1999-12-03"
"336","s07e43","Journey’s End (1)","1999-12-16"
"337","s07e44","Journey’s End (2)","1999-12-17"
"338","s07e45","Journey’s End (3)","1999-12-18"
"339","s08e01","Operation Lightspeed","2000-02-12"
"340","s08e02","Lightspeed Teamwork","2000-02-19"
"341","s08e03","Trial by Fire","2000-02-26"
"342","s08e04","Riding the Edge","2000-03-04"
"343","s08e05","A Matter of Trust","2000-03-11"
"344","s08e06","Wheels of Destruction","2000-03-18"
"345","s08e07","Cyborg Rangers","2000-03-25"
"346","s08e08","Up to the Challenge","2000-04-01"
"347","s08e09","Go Volcanic","2000-04-08"
"348","s08e10","Rising from Ashes","2000-04-15"
"349","s08e11","From Deep in the Shadows","2000-04-22"
"350","s08e12","Truth Discovered","2000-04-29"
"351","s08e13","Ryan's Destiny","2000-05-06"
"352","s08e14","Curse of the Cobra","2000-05-13"
"353","s08e15","Strength of the Sun","2000-05-20"
"354","s08e16","The Cobra Strikes","2000-05-27"
"355","s08e17","Olympius Ascends","2000-08-19"
"356","s08e18","A Face from the Past","2000-08-26"
"357","s08e19","The Queen's Return","2000-09-02"
"358","s08e20","The Omega Project","2000-09-09"
"359","s08e21","The Fifth Crystal","2000-09-16"
"360","s08e22","The Chosen Path","2000-09-23"
"361","s08e23","Yesterday Again","2000-09-30"
"362","s08e24","As Time Runs Out","2000-10-07"
"363","s08e25","In the Freeze Zone","2000-10-21"
"364","s08e26","The Mighty Mega Battles","2000-10-28"
"365","s08e27","The Great Egg Caper","2000-11-03"
"366","s08e28","Ocean Blue","2000-11-04"
"367","s08e29","Trakeena's Revenge (1)","2000-11-06"
"368","s08e30","Trakeena's Revenge (2)","2000-11-07"
"369","s08e31","The Last Ranger","2000-11-08"
"370","s08e32","Sorcerer of the Sands","2000-11-09"
"371","s08e33","Olympius Unbound","2000-11-10"
"372","s08e34","Neptune's Daughter","2000-11-11"
"373","s08e35","Web War","2000-11-13"
"374","s08e36","In the Limelight","2000-11-14"
"375","s08e37","Wrath of the Queen","2000-11-15"
"376","s08e38","Rise of the Super Demons","2000-11-16"
"377","s08e39","The Fate of Lightspeed (1)","2000-11-17"
"378","s08e40","The Fate of Lightspeed (2)","2000-11-18"
"379","s09e01","Force from the Future (1)","2001-02-03"
"380","s09e02","Force from the Future (2)","2001-02-10"
"381","s09e03","Something to Fight For","2001-02-17"
"382","s09e04","Ransik Lives","2001-02-24"
"383","s09e05","A Blue Streak","2001-03-03"
"384","s09e06","A Parting of Ways","2001-03-10"
"385","s09e07","Short-Circuited","2001-03-17"
"386","s09e08","Jen's Revenge","2001-03-24"
"387","s09e09","The Time Shadow","2001-03-31"
"388","s09e10","Future Unknown","2001-04-07"
"389","s09e11","Uniquely Trip","2001-04-14"
"390","s09e12","Worlds Apart","2001-04-21"
"391","s09e13","The Quantum Quest","2001-04-28"
"392","s09e14","Clash for Control (1)","2001-05-05"
"393","s09e15","Clash for Control (2)","2001-05-12"
"394","s09e16","Bodyguard in Blue","2001-05-19"
"395","s09e17","The Legend of the Clock Tower","2001-05-19"
"396","s09e18","Trust and Triumph","2001-06-02"
"397","s09e19","Trip Takes a Stand","2001-06-09"
"398","s09e20","Quantum Secrets","2001-06-16"
"399","s09e21","Lovestruck Rangers","2001-06-23"
"400","s09e22","The Last Race","2001-07-07"
"401","s09e23","Full Exposure","2001-07-14"
"402","s09e24","Movie Madness (1)","2001-07-21"
"403","s09e25","Movie Madness (2)","2001-07-28"
"404","s09e26","Time Force Traitor","2001-08-04"
"405","s09e27","Frax's Fury","2001-08-11"
"406","s09e28","Dawn of Destiny","2001-08-18"
"407","s09e29","Fight Against Fate","2001-08-25"
"408","s09e30","Destiny Defeated","2001-09-08"
"409","s09e31","Undercover Rangers","2001-09-15"
"410","s09e32","Beware the Knight","2001-09-22"
"411","s09e33","Time for Lightspeed","2001-09-29"
"412","s09e34","Reflections of Evil","2001-10-06"
"413","s09e35","Nadira's Dream Date","2001-10-13"
"414","s09e36","Circuit Unsure","2001-10-20"
"415","s09e37","A Calm Before the Storm","2001-10-27"
"416","s09e38","The End of Time (1)","2001-11-03"
"417","s09e39","The End of Time (2)","2001-11-10"
"418","s09e40","The End of Time (3)","2001-11-17"
"419","s10e01","Lionheart","2002-02-09"
"420","s10e02","Darkness Awakening","2002-02-09"
"421","s10e03","Click, Click, Zoom","2002-02-16"
"422","s10e04","Never Give Up","2002-02-23"
"423","s10e05","Ancient Awakening","2002-03-02"
"424","s10e06","Wishes on the Water","2002-03-09"
"425","s10e07","The Bear Necessities","2002-03-16"
"426","s10e08","Soul Searching","2002-03-23"
"427","s10e09","Soul Bird Salvation","2002-03-30"
"428","s10e10","Curse of the Wolf","2002-04-06"
"429","s10e11","Battle of the Zords","2002-04-13"
"430","s10e12","Predazord, Awaken","2002-04-20"
"431","s10e13","Revenge of Zen-Aku","2002-04-27"
"432","s10e14","Identity Crisis","2002-05-04"
"433","s10e15","The Ancient Warrior","2002-05-11"
"434","s10e16","The Lone Wolf","2002-05-18"
"435","s10e17","Power Play","2002-06-01"
"436","s10e18","Secrets and Lies","2002-06-08"
"437","s10e19","The Tornado Spin","2002-06-15"
"438","s10e20","Three's a Crowd","2002-06-29"
"439","s10e21","A Father's Footsteps","2002-07-06"
"440","s10e22","Sing Song","2002-07-13"
"441","s10e23","The Wings of Animaria","2002-07-20"
"442","s10e24","Reinforcements from the Future (1)","2002-07-27"
"443","s10e25","Reinforcements from the Future (2)","2002-08-03"
"444","s10e26","The Master's Last Stand","2002-08-10"
"445","s10e27","Unfinished Business","2002-09-14"
"446","s10e28","Homecoming","2002-09-14"
"447","s10e29","The Flute","2002-09-21"
"448","s10e30","Team Carnival","2002-09-21"
"449","s10e31","Taming of the Zords","2002-09-28"
"450","s10e32","Monitoring Earth","2002-09-28"
"451","s10e33","The Soul of Humanity","2002-10-05"
"452","s10e34","Forever Red","2002-10-05"
"453","s10e35","The Master's Herald (1)","2002-10-19"
"454","s10e36","The Master's Herald (2)","2002-10-19"
"455","s10e37","Fishing for a Friend","2002-11-02"
"456","s10e38","Sealing the Nexus","2002-11-02"
"457","s10e39","The End of the Power Rangers (1)","2002-11-16"
"458","s10e40","The End of the Power Rangers (2)","2002-11-16"
"459","s11e01","Prelude to a Storm","2003-02-15"
"460","s11e02","There’s No","2003-02-15"
"461","s11e03","Beauty and the Beach","2003-02-22"
"462","s11e04","Looming Thunder","2003-03-01"
"463","s11e05","Thunder Strangers (1)","2003-03-08"
"464","s11e06","Thunder Strangers (2)","2003-03-15"
"465","s11e07","Thunder Strangers (3)","2003-03-22"
"466","s11e08","Nowhere to Grow","2003-03-29"
"467","s11e09","Return of Thunder (1)","2003-04-12"
"468","s11e10","Return of Thunder (2)","2003-04-19"
"469","s11e11","Return of Thunder (3)","2003-04-26"
"470","s11e12","Return of Thunder (4)","2003-05-03"
"471","s11e13","Boxing Bopp-A-Roo","2003-05-10"
"472","s11e14","Pork Chopped","2003-05-17"
"473","s11e15","The Samurai's Journey (1)","2003-05-24"
"474","s11e16","The Samurai's Journey (2)","2003-05-31"
"475","s11e17","The Samurai's Journey (3)","2003-06-07"
"476","s11e18","Scent of a Ranger","2003-06-14"
"477","s11e19","I Love Lothor","2003-06-21"
"478","s11e20","Good Will Hunter","2003-06-28"
"479","s11e21","All About Beevil","2003-07-05"
"480","s11e22","Sensei Switcheroo","2003-07-26"
"481","s11e23","Tongue and Cheek","2003-08-02"
"482","s11e24","Brothers in Arms","2003-08-02"
"483","s11e25","Shane's Karma (1)","2003-08-09"
"484","s11e26","Shane's Karma (2)","2003-08-09"
"485","s11e27","Shimazu Returns (1)","2003-08-16"
"486","s11e28","Shimazu Returns (2)","2003-08-23"
"487","s11e29","Snip It, Snip It Good","2003-09-20"
"488","s11e30","The Wild Wipeout","2003-09-20"
"489","s11e31","Double-Edged Blake","2003-09-27"
"490","s11e32","Eye of the Storm","2003-09-27"
"491","s11e33","General Deception (1)","2003-10-04"
"492","s11e34","General Deception (2)","2003-10-04"
"493","s11e35","A Gem of a Day","2003-10-18"
"494","s11e36","Down and Dirty","2003-10-18"
"495","s11e37","Storm Before the Calm (1)","2003-11-15"
"496","s11e38","Storm Before the Calm (2)","2003-11-15"
"497","s12e01","Day of the Dino (1)","2004-02-14"
"498","s12e02","Day of the Dino (2)","2004-02-14"
"499","s12e03","Wave Goodbye","2004-02-21"
"500","s12e04","Legacy of Power","2004-02-28"
"501","s12e05","Back in Black","2004-03-06"
"502","s12e06","Diva in Distress","2004-03-13"
"503","s12e07","Game On","2004-03-20"
"504","s12e08","Golden Boy","2004-03-27"
"505","s12e09","Beneath the Surface","2004-04-03"
"506","s12e10","Ocean Alert","2004-04-10"
"507","s12e11","White Thunder (1)","2004-04-17"
"508","s12e12","White Thunder (2)","2004-04-24"
"509","s12e13","White Thunder (3)","2004-05-01"
"510","s12e14","Truth and Consequences","2004-05-08"
"511","s12e15","Leader of the Whack","2004-05-15"
"512","s12e16","Burning at Both Ends","2004-05-22"
"513","s12e17","The Missing Bone","2004-05-22"
"514","s12e18","Bully for Ethan","2004-06-12"
"515","s12e19","Lost & Found in Translation","2004-06-13"
"516","s12e20","It's a Mad Mad Mackerel","2004-06-19"
"517","s12e21","Copy That","2004-07-10"
"518","s12e22","Triassic Triumph","2004-07-17"
"519","s12e23","A Star is Torn","2004-07-24"
"520","s12e24","A Ranger Exclusive","2004-07-31"
"521","s12e25","Tutenhawken's Curse","2004-08-07"
"522","s12e26","Disappearing Act","2004-08-21"
"523","s12e27","Fighting Spirit","2004-08-28"
"524","s12e28","The Passion of Connor","2004-09-05"
"525","s12e29","Isn't It Lava-ly","2004-09-18"
"526","s12e30","Strange Relations","2004-09-25"
"527","s12e31","Thunder Storm (1)","2004-10-02"
"528","s12e32","Thunder Storm (2)","2004-10-09"
"529","s12e33","In Your Dreams","2004-10-16"
"530","s12e34","Drawn Into Danger","2004-10-23"
"531","s12e35","House of Cards","2004-10-30"
"532","s12e36","A Test of Trust","2004-11-06"
